Date,Open,High,Low,Close
31-Dec-21,35114.4,35596.95,35113.75,35481.7
30-Dec-21,34977.65,35179.05,34751.25,35063.6
29-Dec-21,35168.85,35378.3,34890.8,35045.4
28-Dec-21,35308.3,35352.4,35037.9,35183.8
27-Dec-21,34573.65,35143.7,34233,35057.9
24-Dec-21,35282.2,35327.95,34583.4,34857.05
23-Dec-21,35350.5,35477.3,35046.25,35191.15
22-Dec-21,34865.25,35112.1,34687.6,35029.5
21-Dec-21,34863.35,35050,34389.95,34607.85
20-Dec-21,35124.35,35231.1,34018.45,34439.85
17-Dec-21,36491.8,36550.75,35535.05,35618.65
16-Dec-21,37092.95,37159.3,36385.75,36548.65
15-Dec-21,36929.5,37083.5,36743.2,36789.55
14-Dec-21,36778.95,37039.05,36545.4,36893.95
13-Dec-21,37358.2,37581.05,36861.9,36925.25
10-Dec-21,37083.15,37153.25,36824.4,37105.65
09-Dec-21,37331.75,37397.55,36884.45,37082.45
08-Dec-21,37052.75,37384.8,36905.15,37284.7
07-Dec-21,36086.95,36820.7,36013.95,36618.4
06-Dec-21,36252.75,36344.55,35696.75,35735.9
03-Dec-21,36497.3,36844,36062.85,36197.15
02-Dec-21,36281.85,36563.5,36166.7,36508.25
01-Dec-21,35902.9,36445.35,35805,36364.9
30-Nov-21,35958.8,36774.2,35526.35,35695.3
29-Nov-21,36224.45,36347.85,35327.9,35976.45
26-Nov-21,36830.9,36868.9,35904.1,36025.5
25-Nov-21,37362.05,37507.95,37118.4,37364.75
24-Nov-21,37384.75,37891.9,37238.05,37441.95
23-Nov-21,36787,37448.75,36647.55,37272.8
22-Nov-21,38232.15,38241,36655.4,37128.8
18-Nov-21,38071.9,38233.95,37748.45,37976.25
17-Nov-21,38113.4,38456.3,37981.2,38041.55
16-Nov-21,38710.9,38724.7,38211.1,38307.1
15-Nov-21,38849.45,39117.15,38606.6,38702.35
12-Nov-21,38707.15,38822.85,38467.8,38733.35
11-Nov-21,38913.05,38929.95,38346.05,38560.2
10-Nov-21,39206.2,39220.3,38873.8,39023.25
09-Nov-21,39517.85,39560.6,39223.4,39368.8
08-Nov-21,39674.05,39674.05,38932.15,39438.25
04-Nov-21,39669.1,39734.7,39514.15,39573.7
03-Nov-21,40040.65,40160.2,39304.85,39402.05
02-Nov-21,39796.9,40107.6,39590.7,39938.45
01-Nov-21,39432.15,39862.6,39120.65,39763.75
29-Oct-21,39424.55,39775.25,38426.65,39115.6
28-Oct-21,40915.15,40931.05,39350.2,39508.95
27-Oct-21,41234.55,41347,40750,40874.35
26-Oct-21,41057.75,41367.25,40829.15,41238.3
25-Oct-21,40961.25,41829.6,40508.1,41192.4
22-Oct-21,40192.65,40587.35,40149.55,40323.65
21-Oct-21,39676.55,40200.45,39428.1,40030.2
20-Oct-21,39545.45,39774.55,39292.8,39518.2
19-Oct-21,39927.3,40011.15,39394.25,39540.5
18-Oct-21,39794.25,39947.6,39569.55,39684.8
14-Oct-21,38684.65,39375.05,38673,39340.9
13-Oct-21,38735.3,38779.05,38502.7,38635.75
12-Oct-21,38178.35,38609.6,38144.6,38521.5
11-Oct-21,37782.75,38495.3,37744.65,38293.8
08-Oct-21,37906.4,38105.2,37674.35,37775.25
07-Oct-21,37894,37923.65,37650.25,37753.2
06-Oct-21,37768.8,38106.85,37452,37521.55
05-Oct-21,37499.8,37786.6,37364.75,37741
04-Oct-21,37392.15,37670.7,37355.6,37579.65
01-Oct-21,37140.4,37299.4,36876.35,37225.9
30-Sep-21,37677.8,37884.85,37354.25,37425.1
